module_name,balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,load,load,load,load,load,load,load,load,load,renewable2.csv.gz,renewable2.csv.gz,renewable2.csv.gz,renewable2.csv.gz,renewable22.csv.gz,renewable22.csv.gz,renewable22.csv.gz,renewable22.csv.gz,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance,net_load,action,converted_action,converted_action
module_number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
field,loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_current,load_met,reward,load_current,load_met,reward,load_current,load_met,reward,curtailment,renewable_current,renewable_used,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid,,,battery_0,grid_0
30,82888.70820739107,0.0,-828887.0820739107,0.0,10.0,0.0,-0.0,0.01,0.14763887,14.763887,0.0,0.0,100.0,1.0,0.11,-11.0,-56195.69870530077,56195.69870530077,0.0,-12860.617315561489,12860.617315561489,0.0,-13932.39218652882,13932.39218652882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-828898.0820739107,-828898.0820739107,82988.70820739107,82988.70820739107,82888.70820739107,0.0,100.0,0.0,0.0,82988.70820739107,82988.70820739107,1,0.0,100.0
31,113770.37455997893,0.0,-1137703.7455997893,0.0,10.0,0.0,-0.0,0.01,0.147055356,14.7055356,0.0,0.0,100.0,1.0,0.11,-11.0,-72497.04708939765,72497.04708939765,0.0,-15383.556962186763,15383.556962186763,0.0,-26513.093789644525,26513.093789644525,0.0,0.0,0.0,0.0,0.0,0.0,523.32328125,523.32328125,0.0,-1137714.7455997893,-1137714.7455997893,114393.69784122893,114393.69784122893,114293.69784122893,0.0,100.0,0.0,0.0,114393.69784122893,113870.37455997893,1,0.0,100.0
32,118361.80578133429,0.0,-1183618.057813343,0.0,10.0,0.0,-0.0,0.01,0.144711639,14.4711639,0.0,0.0,100.0,1.0,0.11,-11.0,-60280.84853801128,60280.84853801128,0.0,-31396.68493263058,31396.68493263058,0.0,-35564.47402944243,35564.47402944243,0.0,0.0,0.0,0.0,0.0,0.0,8780.20171875,8780.20171875,0.0,-1183629.057813343,-1183629.057813343,127242.00750008429,127242.00750008429,127142.00750008429,0.0,100.0,0.0,0.0,127242.00750008429,118461.80578133429,1,0.0,100.0
33,109235.42477151468,0.0,-1092354.2477151467,0.0,10.0,0.0,-0.0,0.01,0.143415602,14.3415602,0.0,0.0,100.0,1.0,0.11,-11.0,-55935.91350672841,55935.91350672841,0.0,-30246.54303255021,30246.54303255021,0.0,-35475.58895419274,35475.58895419274,0.0,0.0,169.89119070667957,169.89119070667957,0.0,0.0,12152.72953125,12152.72953125,0.0,-1092365.2477151467,-1092365.2477151467,121658.04549347135,121658.04549347135,121558.04549347135,0.0,100.0,0.0,0.0,121658.04549347135,109335.42477151466,1,0.0,100.0
34,92758.5911653449,0.0,-927585.9116534491,0.0,10.0,0.0,-0.0,0.01,0.158535003,15.8535003,0.0,0.0,100.0,1.0,0.11,-11.0,-47286.92300142175,47286.92300142175,0.0,-28757.99474621191,28757.99474621191,0.0,-36294.99710221634,36294.99710221634,0.0,0.0,234.65634075508228,234.65634075508228,0.0,0.0,19246.667343750003,19246.667343750003,0.0,-927596.9116534491,-927596.9116534491,112339.91484984999,112339.91484984999,112239.91484984999,0.0,100.0,0.0,0.0,112339.91484984999,92858.5911653449,1,0.0,100.0
35,94773.49407125024,0.0,-947734.9407125025,0.0,10.0,0.0,-0.0,0.01,0.168648573,16.8648573,0.0,0.0,100.0,1.0,0.11,-11.0,-53077.96825033543,53077.96825033543,0.0,-28741.065355737686,28741.065355737686,0.0,-36440.973755805135,36440.973755805135,0.0,0.0,185.8478218780252,185.8478218780252,0.0,0.0,23200.66546875,23200.66546875,0.0,-947745.9407125025,-947745.9407125025,118260.00736187826,118260.00736187826,118160.00736187826,0.0,100.0,0.0,0.0,118260.00736187826,94873.49407125023,1,0.0,100.0
36,98628.38643337571,0.0,-986283.8643337571,0.0,10.0,0.0,-0.0,0.01,0.1803168369999999,18.031683699999988,0.0,0.0,100.0,1.0,0.11,-11.0,-55290.498890021074,55290.498890021074,0.0,-27243.43593363248,27243.43593363248,0.0,-36754.33511906991,36754.33511906991,0.0,0.0,266.5696030977735,266.5696030977735,0.0,0.0,20293.31390625,20293.31390625,0.0,-986294.8643337571,-986294.8643337571,119288.26994272348,119288.26994272348,119188.26994272348,0.0,100.0,0.0,0.0,119288.26994272348,98728.38643337571,1,0.0,100.0
37,103123.24374012655,0.0,-1031232.4374012655,0.0,10.0,0.0,-0.0,0.01,0.168610615,16.861061499999998,0.0,0.0,100.0,1.0,0.11,-11.0,-52362.76404152671,52362.76404152671,0.0,-28714.867937765302,28714.867937765302,0.0,-36177.866540602205,36177.866540602205,0.0,0.0,76.967279767667,76.967279767667,0.0,0.0,13955.2875,13955.2875,0.0,-1031243.4374012655,-1031243.4374012655,117255.49851989422,117255.49851989422,117155.49851989422,0.0,100.0,0.0,0.0,117255.49851989422,103223.24374012655,1,0.0,100.0
38,109808.91390453566,0.0,-1098089.1390453565,0.0,10.0,0.0,-0.0,0.01,0.17225371,17.225371,0.0,0.0,100.0,1.0,0.08,-8.0,-50509.799852309385,50509.799852309385,0.0,-28710.852315028988,28710.852315028988,0.0,-36443.97468809879,36443.97468809879,0.0,0.0,115.45091965150048,115.45091965150048,0.0,0.0,5640.26203125,5640.26203125,0.0,-1098097.1390453565,-1098097.1390453565,115664.62685543716,115664.62685543715,115564.62685543716,0.0,100.0,0.0,0.0,115664.62685543715,109908.91390453564,1,0.0,100.0
39,105672.38249902528,0.0,-1056723.8249902527,0.0,10.0,0.0,-0.0,0.01,0.1651131019999999,16.51131019999999,0.0,0.0,100.0,1.0,0.08,-8.0,-46038.86257047549,46038.86257047549,0.0,-28712.01411148944,28712.01411148944,0.0,-35940.585580492094,35940.585580492094,0.0,0.0,34.729138431752176,34.729138431752176,0.0,0.0,4884.350625,4884.350625,0.0,-1056731.8249902527,-1056731.8249902527,110691.46226245703,110691.46226245703,110591.46226245703,0.0,100.0,0.0,0.0,110691.46226245703,105772.38249902528,1,0.0,100.0
